gene_id,gene_name,library
ENSG00000223972.5,DDX11L1,gc26
ENSG00000227232.5,WASH7P,gc26
ENSG00000278267.1,MIR6859-1,gc26
ENSG00000243485.5,MIR1302-2HG,gc26
ENSG00000284332.1,MIR1302-2,gc26
ENSG00000237613.2,FAM138A,gc26
ENSG00000268020.3,OR4G4P,gc26
ENSG00000240361.1,OR4G11P,gc26
ENSG00000186092.4,OR4F5,gc26
ENSG00000238009.6,RP11-34P13.7,gc26
ENSG00000239945.1,RP11-34P13.8,gc26
ENSG00000233750.3,CICP27,gc26
ENSG00000268903.1,RP11-34P13.15,gc26
ENSG00000269981.1,RP11-34P13.16,gc26
ENSG00000239906.1,RP11-34P13.14,gc26
ENSG00000241860.6,RP11-34P13.13,gc26
ENSG00000222623.1,RNU6-1100P,gc26
ENSG00000241599.1,RP11-34P13.9,gc26
ENSG00000279928.2,ABC7-43046700E7.1,gc26
ENSG00000279457.4,RP11-34P13.18,gc26
ENSG00000273874.1,MIR6859-2,gc26
ENSG00000228463.9,AP006222.2,gc26
ENSG00000241670.3,RPL23AP21,gc26
ENSG00000236679.2,RPL23AP24,gc26
ENSG00000236743.1,RP5-857K21.15,gc26
ENSG00000236601.2,RP4-669L17.2,gc26
ENSG00000237094.11,RP4-669L17.10,gc26
ENSG00000269732.1,WBP1LP7,gc26
ENSG00000278566.1,OR4F29,gc26
ENSG00000224813.3,SEPT14P13,gc26
ENSG00000233653.3,CICP7,gc26
ENSG00000250575.1,RP4-669L17.8,gc26
ENSG00000278757.1,U6,gc26
ENSG00000230021.8,RP5-857K21.4,gc26
ENSG00000235146.2,RP5-857K21.2,gc26
ENSG00000225972.1,MTND1P23,gc26
ENSG00000225630.1,MTND2P28,gc26
ENSG00000237973.1,MTCO1P12,gc26
ENSG00000278791.1,MIR6723,gc26
ENSG00000229344.1,MTCO2P12,gc26
ENSG00000240409.1,MTATP8P1,gc26
ENSG00000248527.1,MTATP6P1,gc26
ENSG00000198744.5,MTCO3P12,gc26
ENSG00000268663.1,WBP1LP6,gc26
ENSG00000273547.1,OR4F16,gc26
ENSG00000283574.1,RP11-206L10.17,gc26
ENSG00000229376.3,CICP3,gc26
ENSG00000228327.3,RP11-206L10.2,gc26
ENSG00000223181.1,RNU6-1199P,gc26
ENSG00000229905.1,RP11-206L10.4,gc26
ENSG00000237491.8,RP11-206L10.9,gc26
ENSG00000230092.7,RP11-206L10.8,gc26
ENSG00000177757.2,FAM87B,gc26
ENSG00000228794.8,LINC01128,gc26
ENSG00000225880.5,LINC00115,gc26
ENSG00000230368.2,FAM41C,gc26
ENSG00000234711.1,TUBB8P11,gc26
ENSG00000283040.1,FAM166AP3,gc26
ENSG00000272438.1,RP11-54O7.16,gc26
ENSG00000230699.2,RP11-54O7.1,gc26
ENSG00000241180.1,RP11-54O7.2,gc26
ENSG00000223764.2,RP11-54O7.3,gc26
ENSG00000187634.11,SAMD11,gc26
ENSG00000188976.10,NOC2L,gc26
ENSG00000187961.13,KLHL17,gc26
ENSG00000187583.10,PLEKHN1,gc26
ENSG00000187642.9,PERM1,gc26
ENSG00000272512.1,RP11-54O7.17,gc26
ENSG00000188290.10,HES4,gc26
ENSG00000187608.8,ISG15,gc26
ENSG00000231702.2,RP11-54O7.10,gc26
ENSG00000224969.1,RP11-54O7.11,gc26
ENSG00000188157.14,AGRN,gc26
ENSG00000242590.1,RP11-54O7.14,gc26
ENSG00000217801.9,RP11-465B22.3,gc26
ENSG00000273443.1,RP11-54O7.18,gc26
ENSG00000237330.2,RNF223,gc26
ENSG00000131591.17,C1orf159,gc26
ENSG00000223823.1,LINC01342,gc26
ENSG00000207730.3,MIR200B,gc26
ENSG00000207607.3,MIR200A,gc26
ENSG00000198976.1,MIR429,gc26
ENSG00000272141.1,RP11-465B22.8,gc26
ENSG00000205231.1,TTLL10-AS1,gc26
ENSG00000162571.13,TTLL10,gc26
ENSG00000186891.13,TNFRSF18,gc26
ENSG00000186827.10,TNFRSF4,gc26
ENSG00000078808.16,SDF4,gc26
ENSG00000176022.4,B3GALT6,gc26
ENSG00000184163.3,C1QTNF12,gc26
ENSG00000260179.1,RP5-902P8.12,gc26
ENSG00000160087.20,UBE2J2,gc26
ENSG00000230415.1,LINC01786,gc26
ENSG00000162572.20,SCNN1D,gc26
ENSG00000131584.18,ACAP3,gc26
ENSG00000278073.1,MIR6726,gc26
ENSG00000169972.11,PUSL1,gc26
ENSG00000127054.20,INTS11,gc26
ENSG00000283712.1,MIR6727,gc26
ENSG00000240731.1,RP5-890O3.9,gc26
ENSG00000224051.6,CPTP,gc26
ENSG00000169962.4,TAS1R3,gc26
ENSG00000107404.19,DVL1,gc26
ENSG00000284372.1,MIR6808,gc26
ENSG00000162576.16,MXRA8,gc26
ENSG00000175756.13,AURKAIP1,gc26
ENSG00000223663.2,NDUFB4P8,gc26
ENSG00000221978.11,CCNL2,gc26
ENSG00000224870.6,RP4-758J18.2,gc26
ENSG00000242485.5,MRPL20,gc26
ENSG00000264293.2,RN7SL657P,gc26
ENSG00000272455.1,RP4-758J18.13,gc26
ENSG00000235098.8,ANKRD65,gc26
ENSG00000225905.1,RP4-758J18.7,gc26
ENSG00000205116.3,TMEM88B,gc26
ENSG00000225285.1,LINC01770,gc26
ENSG00000179403.11,VWA1,gc26
ENSG00000215915.9,ATAD3C,gc26
ENSG00000160072.19,ATAD3B,gc26
ENSG00000197785.13,ATAD3A,gc26
ENSG00000205090.8,TMEM240,gc26
ENSG00000160075.11,SSU72,gc26
ENSG00000215014.4,RP5-832C2.5,gc26
ENSG00000274481.1,RP11-345P4.11,gc26
ENSG00000228594.3,FNDC10,gc26
ENSG00000272106.1,RP11-345P4.9,gc26
ENSG00000197530.12,MIB2,gc26
ENSG00000189409.13,MMP23B,gc26
ENSG00000248333.8,CDK11B,gc26
ENSG00000272004.1,RP11-345P4.10,gc26
ENSG00000189339.11,SLC35E2B,gc26
ENSG00000269737.2,RP11-345P4.6,gc26
ENSG00000215914.4,MMP23A,gc26
ENSG00000008128.22,CDK11A,gc26
ENSG00000268575.1,RP1-283E3.8,gc26
